id,group,technology,series,spec,year,y,logQ,logM,trend
pv__CHN,equipment,pv,CHN,main_level,2010,0.8591485323548325,3.682166724070565,4.456192445165693,
pv__CHN,equipment,pv,CHN,main_level,2011,0.5063587124761711,4.252328599622632,4.509679808932987,
pv__CHN,equipment,pv,CHN,main_level,2012,-0.181728659685843,4.598290072191402,3.523311081544699,
pv__CHN,equipment,pv,CHN,main_level,2013,-0.2889435343499111,4.90117475518874,3.015723559908184,
pv__CHN,equipment,pv,CHN,main_level,2014,-0.3580721947649373,5.151279397977148,3.26713839072327,
pv__CHN,equipment,pv,CHN,main_level,2015,-0.4623066579630125,5.39300057712095,3.164990795937875,
pv__CHN,equipment,pv,CHN,main_level,2016,-0.6510705910649451,5.674382328161501,2.929240932529897,
pv__CHN,equipment,pv,CHN,main_level,2017,-0.903027745309794,5.951553934028465,2.891409513410439,
pv__CHN,equipment,pv,CHN,main_level,2018,-1.0730767584615286,6.17063993071869,2.956890415537674,
pv__CHN,equipment,pv,CHN,main_level,2019,-1.2091810758055288,6.363208897541072,2.5071504398904505,
pv__CHN,equipment,pv,CHN,main_level,2020,-1.2881285234852962,6.566156825734936,2.4948890766393457,
pv__CHN,equipment,pv,CHN,main_level,2021,-1.060149396296303,6.751017535589894,3.442230801592228,
pv__CHN,equipment,pv,CHN,main_level,2022,-1.1954065125425473,6.952593472965691,3.62475566987548,
pv__CHN,equipment,pv,CHN,main_level,2024,-2.3301770987434205,7.530490596047716,1.547562508716013,
pv__CHN,equipment,pv,CHN,annual_difference,2011,-0.3527898198786613,0.570161875552067,0.05348736376729324,
pv__CHN,equipment,pv,CHN,annual_difference,2012,-0.6880873721620142,0.34596147256876986,-0.9863687273882875,
pv__CHN,equipment,pv,CHN,annual_difference,2013,-0.1072148746640681,0.3028846829973384,-0.5075875216365149,
pv__CHN,equipment,pv,CHN,annual_difference,2014,-0.06912866041502619,0.2501046427884077,0.25141483081508564,
pv__CHN,equipment,pv,CHN,annual_difference,2015,-0.10423446319807522,0.2417211791438021,-0.1021475947853947,
pv__CHN,equipment,pv,CHN,annual_difference,2016,-0.18876393310193262,0.2813817510405512,-0.2357498634079782,
pv__CHN,equipment,pv,CHN,annual_difference,2017,-0.2519571542448489,0.27717160586696377,-0.037831419119457976,
pv__CHN,equipment,pv,CHN,annual_difference,2018,-0.1700490131517346,0.21908599669022522,0.06548090212723512,
pv__CHN,equipment,pv,CHN,annual_difference,2019,-0.1361043173440002,0.19256896682238178,-0.44973997564722357,
pv__CHN,equipment,pv,CHN,annual_difference,2020,-0.07894744767976736,0.20294792819386398,-0.012261363251104829,
pv__CHN,equipment,pv,CHN,annual_difference,2021,0.22797912718899327,0.1848607098549584,0.9473417249528824,
pv__CHN,equipment,pv,CHN,annual_difference,2022,-0.13525711624624437,0.2015759373757966,0.18252486828325187,
pv__CHN,equipment,pv,CHN,time_trend,2010,0.8591485323548325,3.682166724070565,4.456192445165693,0.0
pv__CHN,equipment,pv,CHN,time_trend,2011,0.5063587124761711,4.252328599622632,4.509679808932987,1.0
pv__CHN,equipment,pv,CHN,time_trend,2012,-0.181728659685843,4.598290072191402,3.523311081544699,2.0
pv__CHN,equipment,pv,CHN,time_trend,2013,-0.2889435343499111,4.90117475518874,3.015723559908184,3.0
pv__CHN,equipment,pv,CHN,time_trend,2014,-0.3580721947649373,5.151279397977148,3.26713839072327,4.0
pv__CHN,equipment,pv,CHN,time_trend,2015,-0.4623066579630125,5.39300057712095,3.164990795937875,5.0
pv__CHN,equipment,pv,CHN,time_trend,2016,-0.6510705910649451,5.674382328161501,2.929240932529897,6.0
pv__CHN,equipment,pv,CHN,time_trend,2017,-0.903027745309794,5.951553934028465,2.891409513410439,7.0
pv__CHN,equipment,pv,CHN,time_trend,2018,-1.0730767584615286,6.17063993071869,2.956890415537674,8.0
pv__CHN,equipment,pv,CHN,time_trend,2019,-1.2091810758055288,6.363208897541072,2.5071504398904505,9.0
pv__CHN,equipment,pv,CHN,time_trend,2020,-1.2881285234852962,6.566156825734936,2.4948890766393457,10.0
pv__CHN,equipment,pv,CHN,time_trend,2021,-1.060149396296303,6.751017535589894,3.442230801592228,11.0
pv__CHN,equipment,pv,CHN,time_trend,2022,-1.1954065125425473,6.952593472965691,3.62475566987548,12.0
pv__CHN,equipment,pv,CHN,time_trend,2024,-2.3301770987434205,7.530490596047716,1.547562508716013,14.0
pv__DEU,equipment,pv,DEU,main_level,2010,1.1459071105354406,3.682166724070565,4.456192445165693,
pv__DEU,equipment,pv,DEU,main_level,2011,0.7105540398602702,4.252328599622632,4.509679808932987,
pv__DEU,equipment,pv,DEU,main_level,2012,0.2470926513713912,4.598290072191402,3.523311081544699,
pv__DEU,equipment,pv,DEU,main_level,2013,0.1868802415531142,4.90117475518874,3.015723559908184,
pv__DEU,equipment,pv,DEU,main_level,2014,0.1020339473708197,5.151279397977148,3.26713839072327,
pv__DEU,equipment,pv,DEU,main_level,2015,-0.1245578503725303,5.39300057712095,3.164990795937875,
pv__DEU,equipment,pv,DEU,main_level,2016,-0.1545268277033877,5.674382328161501,2.929240932529897,
pv__DEU,equipment,pv,DEU,main_level,2017,-0.3041703853300829,5.951553934028465,2.891409513410439,
pv__DEU,equipment,pv,DEU,main_level,2018,-0.4171850792381934,6.17063993071869,2.956890415537674,
pv__DEU,equipment,pv,DEU,main_level,2019,-0.5969345548399554,6.363208897541072,2.5071504398904505,
pv__DEU,equipment,pv,DEU,main_level,2020,-0.5030722976966139,6.566156825734936,2.4948890766393457,
pv__DEU,equipment,pv,DEU,main_level,2021,-0.4720118371174482,6.751017535589894,3.442230801592228,
pv__DEU,equipment,pv,DEU,main_level,2022,-0.4995142827708059,6.952593472965691,3.62475566987548,
