,Global,Australia,France,Germany,India,Italy,Japan,South Korea,Spain,United Kingdom,United States
2017,0.8855055072234973,0.8689569658297011,0.8789965156392132,0.9074200088354608,0.863297277597827,0.883652180445173,0.9256647310616994,0.8992155953817789,0.8879822780679493,0.8899781292391826,0.8822734662595437
2018,0.9783522071369305,0.9827713722414629,1.0135932455630192,1.0124026480357367,0.9852355198567264,1.0214446338809047,1.0086873419724263,1.0496685646200166,1.010711659404486,1.0147933481511873,0.954536069938679
2019,1.094120540113691,1.1335595435296202,1.2154314849665235,1.1651071094703054,1.1504918880959407,1.2331369071180258,1.1256671717620081,1.299684516126995,1.1910966833199794,1.2008861215304303,1.027909871277971
2020,1.2024768697000412,1.26420826635715,1.3434774291413774,1.2564121411185254,1.289620049123296,1.3574676849543266,1.1952595801662984,1.411456682802308,1.3062205981047654,1.3146620308677945,1.1329216702389953
2021,1.3026755382886521,1.341377196030698,1.2534324266458243,1.1816869394627851,1.3531506438967067,1.2267168113035347,1.1439027648399869,1.1394305690798787,1.234568924321708,1.221951621191698,1.3607389065307807
2022,1.4248882907829181,1.4749250393647717,1.3240474646045517,1.2285807833285738,1.4890296389346298,1.2812369396464873,1.1813425990688553,1.1441532088255386,1.30103997377798,1.280505265793361,1.5322389508580576
2023,1.2702944281455149,1.2916815578533622,1.1721978790561371,1.1208689635278875,1.2960105443910435,1.139970567485584,1.0982274768541802,1.0349272329684622,1.162946916949875,1.14702138568387,1.3612885923710076
2024,1.4301418797298813,1.4812085983177412,1.329226027270603,1.23219853687243,1.4956690607033838,1.2860424311318193,1.1841076182497428,1.14783784154526,1.3057265460079253,1.2850305473970438,1.5380585526818424
2025,1.5849494085281182,1.6679291095135413,1.482324798797842,1.3376513685740303,1.6935405137762762,1.4277779682869423,1.2639968131138943,1.2556739123179235,1.443654287275024,1.4180785230358275,1.7098241121726594
2026,1.7356823802728176,1.8524805280275387,1.6322704014080802,1.4383529689168133,1.8901310867912795,1.5660129453591305,1.3390886393093802,1.3593975003199494,1.5776540121344167,1.547107049428408,1.8775554079857308
2027,1.8908843860756175,2.0451206699141746,1.787489815492177,1.5402182840416128,2.0963125046731723,1.7085628020693637,1.4139594168648968,1.465013099197405,1.715347499052853,1.6794766357548956,2.0507182270016298
2028,2.0598942138690077,2.257704781672591,1.9573990398746473,1.6492529420991335,2.3248891940689433,1.8640240543777848,1.4929840756631714,1.578787347314119,1.8649965023331878,1.8231122170908025,2.239772960937511
2029,2.2387994400088065,2.4857019461834766,2.1381798631613966,1.7627291332417838,2.5711529897050345,2.028826976522359,1.5740989251621718,1.6979452083939277,2.0231004745904033,1.9746266801457855,2.44040536340741
2030,2.4077530130446276,2.7036337972786773,2.3097133207225604,1.8682279644427136,2.8075320086825566,2.1846716821174637,1.6485555157648908,1.8093728127801543,2.1721429897814155,2.1172520993217407,2.6303217972630106
