panel_index,iso3,year,date_from,date_to,month,days,weight,pc,pa,pc_raw,pa_raw,price_status,regular_cn,regular_alt,common_rate,cn_extra,eu_ad_cap,eu_floor,eu_branch,eu_compliant_share,coverage,policy_source_ids,policy_group,within_year_quantity_weights,assumption_ids,tariff_scenario_id,updated_tariff_source,updated_tariff_source_year,updated_tariff_rule
0.0,AUS,2010,2010-01-01,2010-01-31,1.0,31.0,0.084931506849315,3.091776789316316,3.9295485644858976,3.091776789316316,3.9295485644858976,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-02-01,2010-02-28,2.0,28.0,0.0767123287671232,2.90442343279186,3.630529290989825,2.90442343279186,3.630529290989825,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-03-01,2010-03-31,3.0,31.0,0.084931506849315,2.84487870626562,3.631961814999107,2.84487870626562,3.631961814999107,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-04-01,2010-04-30,4.0,30.0,0.0821917808219178,2.853745381783292,3.642280289907622,2.853745381783292,3.642280289907622,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-05-01,2010-05-31,5.0,31.0,0.084931506849315,2.763961213182792,3.3977357588807564,2.763961213182792,3.3977357588807564,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-06-01,2010-06-30,6.0,30.0,0.0821917808219178,2.7123575248293017,3.258240800266645,2.7123575248293017,3.258240800266645,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-07-01,2010-07-31,7.0,31.0,0.084931506849315,2.886311557959211,3.305004901243417,2.886311557959211,3.305004901243417,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-08-01,2010-08-31,8.0,31.0,0.084931506849315,2.9036209902769103,3.318423988887897,2.9036209902769103,3.318423988887897,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-09-01,2010-09-30,9.0,30.0,0.0821917808219178,2.930089301722598,3.3213745190333803,2.930089301722598,3.3213745190333803,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
0.0,AUS,2010,2010-10-01,2010-10-31,10.0,31.0,0.084931506849315,3.085350824069529,3.483147628430694,3.085350824069529,3.483147628430694,observed_quote_tax_basis_assumed,0.0,0.0,0.0,0.0,0.0,0.0,none,0.8,1.0,,AUS,calendar_days_fixed,A_POLICY_COVER;A_EU_MIX;A_EU_FLOOR;A_FX;A_POLICY_UNKNOWN;A_TARIFF_FILL;A_PRICE_TAX;PV_AD_OFFSET_BOUND;POLICY_FIRM_YEAR_UNKNOWN,main,LOCAL_EXPORT_AHS,2010.0,UPDATED_CHINA_ORDINARY
