year,price_2024usd_per_kw,value_status,is_estimated,anchor_2024usd_per_kw,vestas_price,nordex_price,sgre_price,vestas_yoy,nordex_yoy,sgre_yoy,two_OEM_mean_yoy,method
2010,2103.258602497749,IRENA_equipment_component_anchor,False,2103.258602497749,1844.524839790812,,,,,,,"reported total installed cost times reported wind turbine share, converted to 2024 USD/kW"
2011,2009.6347515435457,interpolated_between_anchors,True,,1889.5253382051344,,,0.02439679718242549,,,,linear interpolation between 2010 and 2012 equipment-cost anchors
2012,1916.0109005893423,IRENA_equipment_component_anchor,False,1916.0109005893423,1764.1183436298493,,,-0.06636957549053546,,,,"reported total installed cost times reported wind turbine share, converted to 2024 USD/kW"
2013,1862.9904594453628,estimated_Vestas_bridge,True,,1715.301119896586,,,-0.02767230662814657,,,,previous German cost times Vestas annual price ratio
2014,1669.9434814068,estimated_Vestas_bridge,True,,1537.5580209218433,,,-0.1036220969677083,,,,previous German cost times Vestas annual price ratio
2015,1426.1887981562843,estimated_Vestas_bridge,True,,1313.1270910478788,,,-0.14596582816393933,,,,previous German cost times Vestas annual price ratio
2016,1387.3341327822213,estimated_Vestas_bridge,True,,1277.3526453487962,1330.2014146383824,1256.0701503974085,-0.0272437039361777,,,,previous German cost times Vestas annual price ratio
2017,1229.1689746364177,estimated_two_OEM_chain,True,,1126.6082811577744,1142.580338754873,1146.834812566626,-0.11801311465547504,-0.14104711799191283,-0.08696595313265076,-0.1140065355622818,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2018,1163.4613871771808,estimated_two_OEM_chain,True,,858.6518159779486,1105.3490319387056,1061.5922391278968,-0.23784350750951055,-0.03258528573731656,-0.07432855412538053,-0.053456919931348545,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2019,1048.5733199055244,estimated_two_OEM_chain,True,,969.437041902568,957.3475296132888,994.0772607055897,0.12902229269548826,-0.13389571804829148,-0.0635978447598402,-0.09874678140406584,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2020,1006.0410519311283,estimated_two_OEM_chain,True,,995.4026918764436,948.844887321488,922.2625227781772,0.026784256069807943,-0.008881458434676581,-0.07224261208473759,-0.040562035259707085,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2021,987.556624217854,estimated_two_OEM_chain,True,,1095.1112453655387,959.8527260246188,877.672817120215,0.10016906152939331,0.011601304755095576,-0.04834817045762896,-0.01837343285126669,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2022,1000.439366581395,estimated_two_OEM_chain,True,,1130.271881396898,943.2881977763552,915.7177382032831,0.032106908024328584,-0.017257364384292817,0.043347498453808475,0.013045067034757829,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2023,991.2985313655391,estimated_two_OEM_chain,True,,1081.6587262330129,928.675806990474,913.1695397749756,-0.04301014292579253,-0.015490908102452128,-0.0027827335018182353,-0.009136820802135182,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
2024,991.8060532801134,estimated_two_OEM_chain,True,,1203.8196838374438,967.1230415027146,876.2993090189716,0.11293854026386763,0.0414000604116469,-0.04037610668122993,0.0005119768652084855,previous German cost times 1 + arithmetic mean of Nordex and SGRE annual percentage changes
